"driverAge","violation","count"
"15-19","Speeding",12376
"20-24","Speeding",24484
"25-29","Speeding",22395
"30-34","Speeding",19074
"35-39","Speeding",17453
"40-44","Speeding",16315
"45-49","Speeding",15795
"50-54","Speeding",14122
"55-59","Speeding",10866
"60-64","Speeding",8150
"65+","Speeding",8479
NA,"Speeding",1016
"15-19","DUI",783
"20-24","DUI",1574
"25-29","DUI",1241
"30-34","DUI",911
"35-39","DUI",713
"40-44","DUI",677
"45-49","DUI",617
"50-54","DUI",482
"55-59","DUI",285
"60-64","DUI",143
"65+","DUI",96
NA,"DUI",49
