year,driverAge,driverPopulation
2010,<19,151876
2010,20-24,285219
2010,25-29,351224
2010,30-34,357668
2010,35-39,347129
2010,40-44,356685
2010,45-49,374250
2010,50-54,387416
2010,55-59,352159
2010,60-64,296304
2010,65+,519343
2011,<19,150635
2011,20-24,285359
2011,25-29,341359
2011,30-34,350602
2011,35-39,324330
2011,40-44,342326
2011,45-49,340457
2011,50-54,364768
2011,55-59,338744
2011,60-64,291735
2011,65+,539501
2012,<19,148734
2012,20-24,291637
2012,25-29,349959
2012,30-34,363375
2012,35-39,333648
2012,40-44,354770
2012,45-49,344875
2012,50-54,380719
2012,55-59,359063
2012,60-64,305854
2012,65+,575039
2013,<19,149161
2013,20-24,296848
2013,25-29,354097
2013,30-34,366960
2013,35-39,334585
2013,40-44,347743
2013,45-49,337411
2013,50-54,375399
2013,55-59,361252
2013,60-64,311449
2013,65+,602583
2014,<19,150778
2014,20-24,303774
2014,25-29,365623
2014,30-34,371202
2014,35-39,339093
2014,40-44,340269
2014,45-49,333811
2014,50-54,366787
2014,55-59,361558
2014,60-64,316359
2014,65+,634108
2015,<19,153878
2015,20-24,309449
2015,25-29,381407
2015,30-34,384672
2015,35-39,354024
2015,40-44,336385
2015,45-49,343226
2015,50-54,357392
2015,55-59,365818
2015,60-64,324140
2015,65+,664130
