year,driverAge,driverPopulation
2010,<19,30749
2010,20-24,46455
2010,25-29,47391
2010,30-34,38198
2010,35-39,34690
2010,40-44,35492
2010,45-49,43085
2010,50-54,47035
2010,55-59,43777
2010,60-64,34017
2010,65+,82208
2011,<19,29933
2011,20-24,46696
2011,25-29,48796
2011,30-34,40782
2011,35-39,34809
2011,40-44,35828
2011,45-49,41499
2011,50-54,47188
2011,55-59,45102
2011,60-64,36304
2011,65+,83209
2012,<19,30387
2012,20-24,47641
2012,25-29,50541
2012,30-34,43631
2012,35-39,36181
2012,40-44,36549
2012,45-49,40309
2012,50-54,47547
2012,55-59,46027
2012,60-64,37955
2012,65+,86039
2013,<19,28856
2013,20-24,48621
2013,25-29,52270
2013,30-34,46813
2013,35-39,38307
2013,40-44,37386
2013,45-49,39456
2013,50-54,47658
2013,55-59,47127
2013,60-64,39424
2013,65+,87920
2014,<19,28355
2014,20-24,49685
2014,25-29,54698
2014,30-34,49495
2014,35-39,40785
2014,40-44,38038
2014,45-49,39402
2014,50-54,47235
2014,55-59,48335
2014,60-64,41146
2014,65+,90367
