year,driverAge,driverPopulation
2013,<19,56572
2013,20-24,130382
2013,25-29,147679
2013,30-34,158253
2013,35-39,153525
2013,40-44,167856
2013,45-49,165224
2013,50-54,163773
2013,55-59,153024
2013,60-64,138351
2013,65+,293421
2014,<19,57159
2014,20-24,138191
2014,25-29,155882
2014,30-34,164767
2014,35-39,157608
2014,40-44,166077
2014,45-49,163497
2014,50-54,167945
2014,55-59,157912
2014,60-64,142684
2014,65+,324721
2015,<19,56776
2015,20-24,138968
2015,25-29,160799
2015,30-34,168415
2015,35-39,162416
2015,40-44,164446
2015,45-49,166173
2015,50-54,169279
2015,55-59,160356
2015,60-64,146661
2015,65+,341222
